frequency_hz,noise_v_per_sqrt_hz
1.000000000000000000e+00,5.216334170000000003e-08
1.258925410000000022e+00,4.697696030000000328e-08
1.584893190000000063e+00,4.240763579999999802e-08
1.995262309999999983e+00,3.839247710000000214e-08
2.511886430000000114e+00,3.487523680000000231e-08
3.162277659999999990e+00,3.180540249999999687e-08
3.981071710000000152e+00,2.913736120000000077e-08
5.011872340000000037e+00,2.682964390000000001e-08
6.309573440000000311e+00,2.484426510000000078e-08
7.943282349999999603e+00,2.314617820000000149e-08
1.000000000000000000e+01,2.170286180000000146e-08
1.258925409999999978e+01,2.048404919999999913e-08
1.584893190000000018e+01,1.946159160000000134e-08
1.995262310000000028e+01,1.860943360000000065e-08
2.511886429999999848e+01,1.790365899999999987e-08
3.162277660000000168e+01,1.732256199999999836e-08
3.981071709999999797e+01,1.684670210000000123e-08
5.011872340000000037e+01,1.645891160000000029e-08
6.309573439999999778e+01,1.614424179999999982e-08
7.943282349999999781e+01,1.588985049999999901e-08
1.000000000000000000e+02,1.568484019999999984e-08
1.258925409999999943e+02,1.552006500000000021e-08
1.584893189999999947e+02,1.538792209999999854e-08
1.995262309999999957e+02,1.528214289999999836e-08
2.511886430000000132e+02,1.519759489999999974e-08
3.162277659999999742e+02,1.513009930000000071e-08
3.981071709999999939e+02,1.507627039999999898e-08
5.011872339999999895e+02,1.503337509999999849e-08
6.309573440000000346e+02,1.499921479999999982e-08
7.943282349999999497e+02,1.497202480000000129e-08
1.000000000000000000e+03,1.495039169999999900e-08
1.258925410000000056e+03,1.493318559999999839e-08
1.584893190000000004e+03,1.491950420000000136e-08
1.995262310000000070e+03,1.490862770000000013e-08
2.511886430000000018e+03,1.489998260000000049e-08
3.162277660000000196e+03,1.489311190000000068e-08
3.981071710000000166e+03,1.488765210000000064e-08
5.011872339999999895e+03,1.488331370000000073e-08
6.309573440000000119e+03,1.487986680000000045e-08
7.943282350000000406e+03,1.487712819999999932e-08
1.000000000000000000e+04,1.487495250000000060e-08
1.258925410000000011e+04,1.487322410000000053e-08
1.584893189999999959e+04,1.487185099999999958e-08
1.995262310000000070e+04,1.487076019999999928e-08
2.511886430000000109e+04,1.486989369999999934e-08
3.162277660000000105e+04,1.486920539999999996e-08
3.981071710000000166e+04,1.486865859999999937e-08
5.011872340000000258e+04,1.486822429999999989e-08
6.309573440000000119e+04,1.486787930000000076e-08
7.943282349999999860e+04,1.486760519999999941e-08
1.000000000000000000e+05,1.486738749999999950e-08
1.258925409999999974e+05,1.486721460000000063e-08
1.584893189999999886e+05,1.486707729999999987e-08
1.995262309999999998e+05,1.486696809999999981e-08
2.511886430000000109e+05,1.486688150000000033e-08
3.162277660000000033e+05,1.486681259999999987e-08
3.981071709999999730e+05,1.486675790000000063e-08
5.011872339999999967e+05,1.486671450000000003e-08
6.309573440000000410e+05,1.486668000000000061e-08
7.943282349999999860e+05,1.486665260000000015e-08
1.000000000000000000e+06,1.486663079999999982e-08
