vin_v,ron_ohm
0.000000000000000000e+00,1.000000000000000000e+12
3.673469389999999696e-02,1.000000000000000000e+12
7.346938779999999392e-02,1.000000000000000000e+12
1.102040819999999949e-01,1.000000000000000000e+12
1.469387759999999932e-01,1.000000000000000000e+12
1.836734690000000059e-01,1.000000000000000000e+12
2.204081629999999903e-01,1.000000000000000000e+12
2.571428570000000025e-01,1.000000000000000000e+12
2.938775510000000146e-01,1.000000000000000000e+12
3.306122450000000268e-01,1.000000000000000000e+12
3.673469389999999835e-01,1.000000000000000000e+12
4.040816329999999956e-01,1.633333330000000075e+06
4.408163270000000078e-01,1.633333330000000133e+05
4.775510199999999927e-01,8.596491229999999632e+04
5.142857140000000049e-01,5.833333329999999842e+04
5.510204079999999616e-01,4.414414409999999771e+04
5.877551020000000292e-01,3.550724640000000363e+04
6.244897959999999859e-01,2.969696970000000147e+04
6.612244900000000536e-01,2.552083329999999842e+04
6.979591840000000103e-01,2.237442919999999867e+04
7.346938779999999669e-01,1.991869919999999911e+04
7.714285709999999519e-01,1.794871789999999964e+04
8.081632650000000195e-01,1.633333330000000024e+04
8.448979589999999762e-01,1.498470950000000084e+04
8.816326530000000439e-01,1.384180789999999979e+04
9.183673470000000005e-01,1.286089240000000063e+04
9.551020409999999572e-01,1.200980390000000079e+04
9.918367350000000249e-01,1.126436779999999999e+04
1.028571429999999953e+00,1.060606060000000070e+04
1.065306120000000023e+00,1.002044989999999962e+04
1.102040820000000032e+00,9.496124030000000857e+03
1.138775510000000102e+00,9.023941070000000764e+03
1.175510199999999950e+00,8.596491229999999632e+03
1.212244899999999959e+00,8.207705190000000584e+03
1.248979590000000028e+00,7.852564099999999598e+03
1.285714290000000037e+00,7.526881720000000314e+03
1.322448980000000107e+00,7.227138640000000123e+03
1.359183669999999955e+00,6.950354610000000321e+03
1.395918369999999964e+00,6.693989069999999629e+03
1.432653060000000034e+00,6.455862979999999880e+03
1.469387760000000043e+00,6.234096690000000308e+03
1.506122449999999890e+00,6.027060269999999946e+03
1.542857139999999960e+00,5.833333330000000387e+03
1.579591839999999969e+00,5.651672429999999622e+03
1.616326530000000039e+00,5.475668789999999717e+03
1.653061220000000109e+00,5.315451259999999820e+03
1.689795919999999896e+00,5.164334189999999580e+03
1.726530609999999966e+00,5.021564389999999548e+03
1.763265309999999975e+00,4.886469430000000102e+03
